FY,state,measure_name,avg_err,hospitals_reporting,total_rows,delta_prev
2025,TN,READM-30-CABG-HRRP,1.0393533333333334,15,15,0.017511666666666592
2025,TX,READM-30-CABG-HRRP,1.0226685714285715,35,35,-0.02389296703296706
2025,VA,READM-30-CABG-HRRP,0.9822846153846154,13,13,-0.0018608391608391228
2025,VT,READM-30-CABG-HRRP,0.8623,1,1,0.02939999999999998
2025,WA,READM-30-CABG-HRRP,0.9786999999999999,8,8,-0.07752857142857161
2025,WI,READM-30-CABG-HRRP,1.0413142857142856,7,7,-0.0038357142857143867
2025,WV,READM-30-CABG-HRRP,1.054075,4,4,-0.054664999999999964
2025,AK,READM-30-COPD-HRRP,1.02295,4,4,0.030410000000000048
2025,AL,READM-30-COPD-HRRP,0.9964357142857143,28,28,0.0012107142857143982
2025,AR,READM-30-COPD-HRRP,1.0051863636363636,22,22,-0.005631818181818238
2025,AZ,READM-30-COPD-HRRP,0.9990826086956521,23,23,0.00590869565217389
2025,CA,READM-30-COPD-HRRP,1.021629661016949,118,118,0.0016782324455204556
2025,CO,READM-30-COPD-HRRP,0.9943285714285715,7,7,-0.012508928571428601
2025,CT,READM-30-COPD-HRRP,1.0119,24,24,-0.0038173913043477725
2025,DC,READM-30-COPD-HRRP,1.0509249999999999,4,4,-0.03927500000000017
2025,DE,READM-30-COPD-HRRP,0.97028,5,5,0.0048000000000000265
2025,FL,READM-30-COPD-HRRP,1.0129328,125,125,-0.0021363666666667225
2025,GA,READM-30-COPD-HRRP,1.0177176470588234,51,51,0.004404603580562494
2025,HI,READM-30-COPD-HRRP,1.01435,2,2,0.01615000000000011
2025,IA,READM-30-COPD-HRRP,0.9979615384615385,13,13,0.011144871794871669
2025,ID,READM-30-COPD-HRRP,0.93935,2,2,-0.018349999999999977
2025,IL,READM-30-COPD-HRRP,1.022479069767442,86,86,-0.0027233398711123957
2025,IN,READM-30-COPD-HRRP,1.0159408163265307,49,49,0.014174149659863966
2025,KS,READM-30-COPD-HRRP,1.001625,12,12,-0.00472500000000009
2025,KY,READM-30-COPD-HRRP,1.027908108108108,37,37,-0.00024439189189195965
2025,LA,READM-30-COPD-HRRP,0.9976181818181818,22,22,-0.0042762626262625725
2025,MA,READM-30-COPD-HRRP,1.045272340425532,47,47,0.0025179925994449626
2025,MD,READM-30-COPD-HRRP,0.9868702702702703,37,37,7.816500711232965e-05
2025,ME,READM-30-COPD-HRRP,1.00445,4,4,0.00511000000000017
2025,MI,READM-30-COPD-HRRP,1.0130905660377358,53,53,0.006977358490566132
2025,MN,READM-30-COPD-HRRP,1.0079615384615386,13,13,-0.012107692307692153
2025,MO,READM-30-COPD-HRRP,1.0148928571428573,42,42,0.0023538327526133607
2025,MS,READM-30-COPD-HRRP,1.013252380952381,21,21,0.002807380952380978
2025,MT,READM-30-COPD-HRRP,0.98378,5,5,-0.014460000000000028
2025,NC,READM-30-COPD-HRRP,1.0043666666666666,54,54,-0.0005921568627451634
2025,ND,READM-30-COPD-HRRP,0.99672,5,5,-0.0031200000000000117
2025,NE,READM-30-COPD-HRRP,1.0077714285714285,7,7,0.01107142857142851
2025,NH,READM-30-COPD-HRRP,0.98955,10,10,-0.004069999999999907
